ID,Gender,Age,Intro,Habits,X,Y
1,MALE,25,喜歡挑戰極限的冒險家,登山;露營;慢跑,10,15
2,FEMALE,30,美食是生活的靈魂,烹飪;烘焙;電影,45,20
3,MALE,22,寫程式是我的超能力,玩遊戲;編程;電影,5,8
4,FEMALE,28,在文字與音樂中尋找平靜,攝影;繪畫;聽音樂,30,30
5,MALE,35,追求極致體能的健身教練,健身;慢跑;游泳,12,50
6,FEMALE,24,熱愛旅行的接案攝影師,旅遊;攝影;登山,80,10
7,MALE,29,安靜的室內派男生,閱讀;聽音樂;電影,25,40
8,FEMALE,31,熱衷於探索各國美食,烹飪;烘焙;旅遊,60,60
9,MALE,27,科技宅也是可以很陽光的,編程;玩遊戲;健身,15,85
10,FEMALE,26,喜歡在週末看場電影,電影;聽音樂;旅遊,40,45
11,MALE,32,享受在森林中呼吸的感覺,登山;露營;攝影,12,18
12,FEMALE,23,熱愛二次元文化的少女,玩遊戲;動漫;繪畫,8,12
13,MALE,28,音樂是我唯一的解藥,聽音樂;彈吉他;作曲,50,50
14,FEMALE,29,正在學習烘焙的上班族,烘焙;閱讀;電影,42,22
15,MALE,24,熱血的籃球少年,健身;游泳;旅遊,35,70
16,FEMALE,27,喜歡邊跑邊思考人生,慢跑;健身;聽音樂,15,55
17,MALE,30,追求心靈成長的閱讀者,閱讀;寫作;攝影,65,30
18,FEMALE,25,海邊長大的運動女孩,游泳;露營;旅遊,75,15
19,MALE,26,電競戰隊的退休隊員,玩遊戲;編程;動漫,7,10
20,FEMALE,33,喜歡與大自然對話,登山;旅遊;露營,85,12
21,MALE,22,剛出社會的熱血青年,慢跑;健身;玩遊戲,20,25
22,FEMALE,35,資深的美食評論家,烹飪;旅遊;美食,48,65
23,MALE,29,半夜寫 Code 的夜貓子,編程;聽音樂;玩遊戲,18,88
24,FEMALE,24,文藝氣息滿滿的少女,繪畫;寫作;電影,33,35
25,MALE,31,愛山也愛海,登山;游泳;旅遊,12,12
26,FEMALE,28,喜歡烘焙與甜點,烘焙;烹飪;聽音樂,46,25
27,MALE,27,極簡主義者,閱讀;跑步;攝影,60,40
28,FEMALE,22,剛開始學吉他的女孩,聽音樂;彈吉他;電影,55,55
29,MALE,33,專業攝影師,攝影;旅遊;登山,70,70
30,FEMALE,26,熱愛跑步的行銷人,慢跑;健身;瑜珈,10,60
31,MALE,25,科幻電影迷,電影;編程;玩遊戲,15,15
32,FEMALE,30,全職貓奴,閱讀;電影;聽音樂,40,40
33,MALE,34,重訓中毒者,健身;游泳;美食,30,80
34,FEMALE,23,充滿想像力的畫家,繪畫;攝影;旅遊,25,25
35,MALE,29,愛露營的吉他手,彈吉他;露營;慢跑,15,20
36,FEMALE,31,室內設計師,繪畫;裝潢;閱讀,50,45
37,MALE,26,外送員也是有夢想的,慢跑;旅遊;電影,35,35
38,FEMALE,27,喜歡煮菜給別人吃,烹飪;烘焙;美食,40,10
39,MALE,28,愛貓的工程師,編程;電影;閱讀,22,22
40,FEMALE,24,網球初學者,健身;旅遊;聽音樂,65,65
41,MALE,32,正在旅行的路上,旅遊;攝影;游泳,90,90
42,FEMALE,29,熱愛下廚的OL,烹飪;美食;看展,55,20
43,MALE,25,週末都在山上過,登山;露營;健身,18,18
44,FEMALE,22,愛看動漫的少女,動漫;玩遊戲;繪畫,12,12
45,MALE,30,黑膠唱片收藏家,聽音樂;閱讀;攝影,45,45
46,FEMALE,33,全職作家,寫作;閱讀;電影,10,90
47,MALE,27,喜歡重型機車,旅遊;攝影;健身,70,20
48,FEMALE,25,喜歡下午茶,烘焙;美食;聽音樂,48,48
49,MALE,23,業餘 DJ,聽音樂;作曲;玩遊戲,5,95
50,FEMALE,31,熱衷於瑜珈,健身;慢跑;瑜珈,20,50
51,MALE,26,喜歡看棒球,慢跑;體育;旅遊,55,55
52,FEMALE,28,熱愛潛水的人,游泳;旅遊;攝影,85,85
53,MALE,24,喜歡桌遊的男生,玩遊戲;電影;聽音樂,30,30
54,FEMALE,34,愛喝咖啡的設計師,閱讀;攝影;烘焙,40,40
55,MALE,29,軟體架構師,編程;閱讀;登山,15,10
56,FEMALE,22,熱舞社成員,聽音樂;健身;旅遊,60,15
57,MALE,35,愛吃拉麵的工程師,美食;編程;旅遊,33,33
58,FEMALE,27,喜歡研究食譜,烹飪;閱讀;美食,45,10
59,MALE,32,喜歡拍晨曦的人,攝影;慢跑;登山,5,5
60,FEMALE,25,喜歡小提琴,聽音樂;看展;寫作,50,60
61,MALE,28,正在學衝浪,游泳;旅遊;健身,95,5
62,FEMALE,26,喜歡在咖啡廳讀書,閱讀;電影;聽音樂,25,25
63,MALE,23,愛打電動的學生,玩遊戲;編程;聽音樂,10,10
64,FEMALE,30,愛護動物志工,旅遊;攝影;慢跑,60,60
65,MALE,31,喜歡去博物館,看展;閱讀;聽音樂,40,70
66,FEMALE,24,愛看驚悚片,電影;玩遊戲;烘焙,15,40
67,MALE,34,喜歡馬拉松,慢跑;健身;登山,20,80
68,FEMALE,29,喜歡插花的人,繪畫;看展;閱讀,55,55
69,MALE,27,想去月球旅遊的人,旅遊;編程;攝影,100,100
70,FEMALE,25,愛彈鋼琴,聽音樂;看展;美食,45,45
71,MALE,32,喜歡種花的人,閱讀;慢跑;旅遊,30,30
72,FEMALE,33,專業廚師,烹飪;美食;烘焙,42,12
73,MALE,22,喜歡嘻哈音樂,聽音樂;玩遊戲;健身,5,55
74,FEMALE,28,熱愛極光的人,旅遊;攝影;露營,90,10
75,MALE,26,喜歡單車環島,旅遊;健身;慢跑,50,50
76,FEMALE,31,喜歡塔羅牌的人,閱讀;聽音樂;繪畫,35,65
77,MALE,35,資深登山客,登山;露營;游泳,10,10
78,FEMALE,24,喜歡逛市集,看展;美食;旅遊,55,35
79,MALE,29,喜歡星空的攝影師,攝影;露營;聽音樂,15,90
80,FEMALE,27,熱愛拼圖的人,閱讀;電影;玩遊戲,30,20
81,MALE,23,喜歡Rap,聽音樂;玩遊戲;編程,12,70
82,FEMALE,30,喜歡研究歷史,閱讀;看展;電影,60,40
83,MALE,34,追求速度的人,健身;旅遊;慢跑,80,80
84,FEMALE,25,喜歡看日劇,電影;聽音樂;烘焙,40,40
85,MALE,32,愛下象棋的人,閱讀;玩遊戲;聽音樂,20,20
86,FEMALE,26,喜歡爵士樂,聽音樂;攝影;美食,55,55
87,MALE,28,喜歡去野餐,旅遊;美食;露營,10,40
88,FEMALE,33,喜歡水彩畫,繪畫;閱讀;聽音樂,35,35
89,MALE,24,喜歡玩空拍機,攝影;編程;玩遊戲,5,85
90,FEMALE,29,喜歡整理房間,閱讀;電影;健身,65,65
91,MALE,31,喜歡看漫畫,動漫;玩遊戲;聽音樂,15,15
92,FEMALE,27,喜歡室內攀岩,健身;登山;旅遊,20,20
93,MALE,26,喜歡研究冷知識,閱讀;編程;聽音樂,45,45
94,FEMALE,23,熱愛看音樂劇,聽音樂;看展;電影,70,70
95,MALE,35,喜歡木工的人,寫作;閱讀;攝影,10,10
96,FEMALE,31,喜歡皮拉提斯,健身;慢跑;游泳,25,25
97,MALE,28,喜歡泰國菜,美食;烹飪;旅遊,60,10
98,FEMALE,25,喜歡去遊樂園,旅遊;玩遊戲;聽音樂,80,80
99,MALE,30,喜歡研究咖啡豆,閱讀;美食;烘焙,40,40
100,FEMALE,22,喜歡做手工藝,繪畫;編程;看展,5,5
